player,team,TotMin,TotalGames,AvgMin
Tyrese Maxey,PHI,2650,75,35.3
Tyrone Wallace,NOP,75,6,12.5
Tyus Jones,MEM,1549,73,21.2
Udoka Azubuike,UTA,195,17,11.5
Udonis Haslem,MIA,83,13,6.4
Usman Garuba,HOU,240,24,10
Vernon Carey Jr.,CHA,17,4,4.2
Vernon Carey Jr.,WAS,27,3,9
Victor Oladipo,MIA,173,8,21.6
Vit Krejci,OKC,690,30,23
Vlatko Cancar,DEN,176,15,11.7
Wayne Ellington,LAL,810,43,18.8
Wayne Selden,NYK,19,3,6.3
Wendell Carter Jr.,ORL,1852,62,29.9
Wenyen Gabriel,BKN,1,1,1
Wenyen Gabriel,LAC,46,6,7.7
Wenyen Gabriel,LAL,311,19,16.4
Wes Iwundu,ATL,82,3,27.3
Wesley Matthews,MIL,1002,49,20.4
Will Barton,DEN,2276,71,32.1
Willie Cauley-Stein,DAL,177,18,9.8
Willie Cauley-Stein,PHI,6,2,3
Willy Hernangomez,NOP,839,49,17.1
Xavier Moon,LAC,137,10,13.7
Xavier Sneed,MEM,8,2,4
Xavier Sneed,UTA,31,7,4.4
Xavier Tillman,MEM,703,53,13.3
Xavier Tillman Sr.,MEM,127,9,14.1
Yuta Watanabe,TOR,445,38,11.7
Yves Pons,MEM,71,12,5.9
Zach Collins,SAS,519,29,17.9
Zach LaVine,CHI,2328,67,34.7
Zavier Simpson,OKC,174,4,43.5
Zeke Nnaji,DEN,698,41,17
Ziaire Williams,MEM,1346,62,21.7
Zylan Cheatham,UTA,5,1,5
