player,Position,Experience,Birth,Age,Salary
Brad Wanamaker,PG,2,7/25/1989,31,2250000
Luke Kornet,C-PF,3,7/15/1995,25,2250000
Nassir Little,PF,1,2/11/2000,20,2210640
R.J. Hampton,SG-PG,0,2/7/2001,19,2193480
Matthew Dellavedova,PG,7,9/8/1990,30,2174318
Solomon Hill,PF,7,3/18/1991,29,2174318
Edmond Sumner,SG,3,12/31/1995,24,2160000
Anderson Varejao,C,13,9/28/1982,38,2141713
Dylan Windler,SF,0,9/22/1996,24,2137440
Immanuel Quickley,PG,0,6/17/1999,21,2105520
John Konchar,SG,1,3/22/1996,24,2100000
Landry Shamet,SG,2,3/13/1997,23,2090040
Jordan Poole,SG,1,6/19/1999,21,2063280
Bol Bol,PF,1,11/16/1999,21,2058240
Keldon Johnson,SF,1,10/11/1999,21,2048040
Payton Pritchard,SG,0,1/28/1998,22,2035800
Robert Williams III,C,2,10/17/1997,23,2029920
Bruno Caboclo,PF,6,9/21/1995,25,2028594
Langston Galloway,SG,6,12/9/1991,29,2028594
Tyler Johnson,SG,6,5/7/1992,28,2028594
Gary Clark,PF-SF,2,11/16/1994,26,2018458
Damyean Dotson,SG,3,5/6/1994,26,2000000
Kenrich Williams,PF,2,12/2/1994,26,2000000
Theo Maledon,PG,0,6/12/2001,19,2000000
Quinn Cook,PG,4,3/23/1993,27,1981649
Cameron Payne,PG,5,8/8/1994,26,1977011
Udoka Azubuike,C,0,9/17/1999,21,1977000
Jaden McDaniels,PF,1,1/31/1998,22,1964760
Malachi Flynn,PG,0,5/10/1998,22,1950600
Desmond Bane,SG,0,6/25/1998,22,1936440
Jontay Porter,PF,0,11/15/1999,21,1900000
Jahlil Okafor,C,5,12/15/1995,25,1882867
JaKarr Sampson,PF,5,3/20/1993,27,1882867
Raul Neto,PG,5,5/19/1992,28,1882867
David Nwaba,SF,4,1/14/1993,27,1824003
Marquese Chriss,PF,4,7/2/1997,23,1824003
Timothe Luwawu-Cabarrot,SF,4,5/9/1995,25,1824003
Georges Niang,PF,4,6/17/1993,27,1783557
Rodions Kurucs,SF-PF,2,2/5/1998,22,1780152
Alfonzo McKinnie,SF,3,9/17/1992,28,1762796
Damion Lee,SG,3,10/21/1992,28,1762796
Furkan Korkmaz,SG,3,7/24/1997,23,1762796
PJ Dozier,SG,3,10/25/1996,24,1762796
Abdel Nader,SF,3,9/25/1993,27,1752950
Semi Ojeleye,PF,3,12/5/1994,26,1752950
DeAndre' Bembry,SF,4,7/4/1994,26,1737145
Frank Kaminsky,C,5,4/4/1993,27,1737145
Thon Maker,C,4,2/25/1997,23,1737145
Willy Hernangomez,C,4,5/27/1994,26,1737145
Monte Morris,PG,3,6/27/1995,25,1723707
Kevin Porter Jr.,SG,1,5/4/2000,20,1717981
Brandon Goodwin,PG,2,10/2/1995,25,1701593
Shake Milton,SG,2,9/26/1996,24,1701593
Thanasis Antetokounmpo,SF,2,7/18/1992,28,1701593
Ignas Brazdeikis,SF,1,1/8/1999,21,1686315
Dwayne Bacon,SG,3,8/30/1995,25,1678854
Sterling Brown,SG,3,2/10/1995,25,1678854
Torrey Craig,SF,3,12/19/1990,30,1678854
Wes Iwundu,SF,3,12/20/1994,26,1678854
Bruce Brown,PG,2,8/15/1996,24,1663861
Devonte' Graham,PG,2,2/22/1995,25,1663861
Duncan Robinson,SF,2,4/22/1994,26,1663861
Gary Trent Jr.,SG,2,1/18/1999,21,1663861
Hamidou Diallo,SG-SF,2,7/31/1998,22,1663861
Isaac Bonga,SF,2,11/8/1999,21,1663861
Jalen Brunson,PG,2,8/31/1996,24,1663861
Jarred Vanderbilt,PF,2,4/3/1999,21,1663861
Kendrick Nunn,PG,1,8/3/1995,25,1663861
Mitchell Robinson,C,2,4/1/1998,22,1663861
Svi Mykhailiuk,SF-SG,2,6/10/1997,23,1663861
Drew Eubanks,C,2,2/1/1997,23,1620564
Harry Giles III,C,2,4/22/1998,22,1620564
Isaiah Hartenstein,C,2,5/5/1998,22,1620564
