player,team,TotMin,TotalGames,AvgMin
Taj Gibson,NYK,19,2,9.5
Talen Horton-Tucker,LAL,287,18,15.9
Taurean Prince,BKN,218,12,18.2
Taurean Prince,CLE,205,8,25.6
Terance Mann,LAC,218,19,11.5
Terence Davis,TOR,212,15,14.1
Terrance Ferguson,PHI,22,6,3.7
Terrence Ross,ORL,561,20,28
Terry Rozier,CHA,658,20,32.9
Thaddeus Young,CHI,374,15,24.9
Thanasis Antetokounmpo,MIL,136,14,9.7
Theo Maledon,OKC,381,18,21.2
Theo Pinson,NYK,17,7,2.4
Thomas Bryant,WAS,271,10,27.1
Thon Maker,CLE,76,8,9.5
Tim Frazier,MEM,32,3,10.7
Tim Hardaway Jr.,DAL,606,19,31.9
Timothe Luwawu-Cabarrot,BKN,424,22,19.3
Tobias Harris,PHI,604,18,33.6
Tomas Satoransky,CHI,138,8,17.2
Tony Bradley,PHI,112,8,14
Tony Snell,ATL,75,9,8.3
Torrey Craig,MIL,64,7,9.1
Trae Young,ATL,652,19,34.3
Tre Jones,SAS,27,9,3
Tremont Waters,BOS,61,6,10.2
Trent Forrest,UTA,9,2,4.5
Trey Burke,DAL,411,19,21.6
Trey Lyles,SAS,110,10,11
Tristan Thompson,BOS,355,16,22.2
Troy Brown Jr.,WAS,123,7,17.6
Ty-Shon Alexander,PHX,8,3,2.7
Tyler Bey,DAL,13,4,3.2
Tyler Herro,MIA,443,13,34.1
Tyler Johnson,BKN,43,7,6.1
Tyrell Terry,DAL,56,11,5.1
Tyrese Haliburton,SAC,519,18,28.8
Tyrese Maxey,PHI,397,21,18.9
Tyus Jones,MEM,358,14,25.6
Udoka Azubuike,UTA,49,12,4.1
Vernon Carey Jr.,CHA,6,3,2
Victor Oladipo,HOU,197,6,32.8
Victor Oladipo,IND,300,9,33.3
Vincent Poirier,PHI,14,3,4.7
Vlatko Cancar,DEN,19,8,2.4
Wayne Ellington,DET,357,15,23.8
Wendell Carter Jr.,CHI,377,14,26.9
Wenyen Gabriel,NOP,7,1,7
Wes Iwundu,DAL,222,15,14.8
Wesley Matthews,LAL,331,17,19.5
Will Barton,DEN,569,20,28.4
Willie Cauley-Stein,DAL,371,20,18.6
Willy Hernangomez,NOP,41,4,10.2
Xavier Tillman,MEM,187,9,20.8
Yogi Ferrell,CLE,40,2,20
Yuta Watanabe,TOR,178,14,12.7
Zach LaVine,CHI,672,19,35.4
Zeke Nnaji,DEN,20,9,2.2
Zion Williamson,NOP,590,18,32.8
