player,Position,Experience,Birth,Age,Salary,S+1,S+2,S+3
Patrick Beverley,PG,10,7/12/1988,34,13000000,0,0,0
Patrick Williams,PF,2,8/26/2001,21,7775400,9835881,12973527,0
Patty Mills,SG,16,2/10/1985,37,6479000,6802950,0,0
Paul George,PF,12,5/2/1990,32,42492492,45640084,48787676,0
Paul Reed,C,2,6/14/1999,23,1782621,0,0,0
Payton Pritchard,PG,2,1/28/1998,24,2239200,4037277,5959021,0
Peyton Watson,SG,0,9/11/2002,20,2193960,2303520,2413560,4356476
Precious Achiuwa,C,2,9/19/1999,23,2840160,4379526,6275861,0
Quentin Grimes,SG,1,5/8/2000,22,2277000,2385720,4296682,6311825
Quenton Jackson,PG,0,9/15/1998,24,219630,1761752,0,0
R.J. Hampton,SG,2,2/7/2001,21,2412840,4220057,6169723,0
RJ Barrett,SF,3,6/14/2000,22,10900634,23883929,25794643,27705357
Raul Neto,PG,7,5/19/1992,30,2463490,0,0,0
Reggie Bullock,SF,9,3/16/1991,31,10012800,10489600,0,0
Reggie Jackson,SG,11,4/16/1990,32,10876844,0,0,0
Richaun Holmes,C,7,10/15/1993,29,11215260,12046020,12876780,0
Ricky Rubio,PG,11,10/21/1990,31,5853659,6146342,6439025,0
Robert Covington,PF,9,12/14/1990,31,12307692,11692308,0,0
Robert Williams III,C,4,10/17/1997,25,10937502,11794644,12651786,13508928
Robin Lopez,C,14,4/1/1988,34,2905851,0,0,0
Rodney McGruder,SG,6,7/29/1991,31,2298385,0,0,0
Romeo Langford,SG,3,10/25/1999,22,5634257,7837251,0,0
Ron Harper Jr.,SF,0,4/12/2000,22,508891,1761752,0,0
Royce O'Neale,SF,5,6/5/1993,29,9200000,9500000,0,0
Rudy Gay,PF,16,8/17/1986,36,6184500,6479000,0,0
Rudy Gobert,C,9,6/26/1992,30,38172414,41000000,43827586,46655173
Rui Hachimura,PF,3,2/8/1998,24,6263188,8486619,0,0
Russell Westbrook,PG,14,11/12/1988,33,47063478,0,0,0
Ryan Arcidiacono,PG,5,3/26/1994,28,2298385,0,0,0
Ryan Rollins,PG,0,7/3/2002,20,1017781,1719864,2019699,0
Saben Lee,PG,2,6/23/1999,23,2266640,1761752,0,0
Saddiq Bey,SF,2,4/9/1999,23,2959080,4556983,6498258,0
Sam Hauser,SF,1,12/8/1997,24,1637966,1927896,2092344,0
Sandro Mamukelashvili,PF,1,5/23/1999,23,502080,0,0,0
Santi Aldama,PF,1,1/10/2001,21,2094120,2194200,3960531,5940797
Scottie Barnes,PF,1,8/1/2001,21,7644600,8008680,10130980,13362763
Scotty Pippen Jr.,PG,0,11/10/2000,21,508891,1761752,0,0
Serge Ibaka,C,13,9/18/1989,33,2905851,0,0,0
Seth Curry,SG,8,8/23/1990,32,8496653,0,0,0
Shaedon Sharpe,SG,0,5/30/2003,19,6012960,6313800,6614160,8399983
Shai Gilgeous-Alexander,PG,4,7/12/1998,24,30913750,33386850,35859950,38333050
Shake Milton,SG,4,9/26/1996,26,1997718,0,0,0
Simone Fontecchio,SF,0,12/9/1995,26,3205128,3044872,0,0
Spencer Dinwiddie,PG,8,4/6/1993,29,19500000,20357143,0,0
Stanley Johnson,PF,7,5/29/1996,26,4022164,0,0,0
Stanley Umude,SG,0,4/12/1999,23,58493,0,0,0
Stephen Curry,PG,13,3/14/1988,34,48070014,51915615,55761217,59606817
Sterling Brown,SG,5,2/10/1995,27,3122602,0,0,0
Steven Adams,C,9,7/20/1993,29,17926829,12600000,12600000,0
Svi Mykhailiuk,SF,4,6/10/1997,25,3846895,0,0,0
T.J. McConnell,PG,7,3/25/1992,30,8100000,8700000,9300000,0
T.J. Warren,PF-SF,7,9/5/1993,29,2628597,0,0,0
Taj Gibson,C,13,6/24/1985,37,2905851,0,0,0
Talen Horton-Tucker,SG,3,11/25/2000,21,10260000,11020000,0,0
Tari Eason,PF,0,5/10/2001,21,3359160,3527160,3695160,5675766
Taurean Prince,PF,6,3/22/1994,28,7295000,7650000,0,0
Terance Mann,SF,3,10/18/1996,25,1930681,10576923,11423077,0
Terence Davis,SG,3,5/16/1997,25,4000000,0,0,0
Terrence Ross,SG,10,2/5/1991,31,10581484,0,0,0
Terry Rozier,SG,7,3/17/1994,28,21486316,23205221,24924126,26643031
Terry Taylor,SG,1,9/23/1999,23,1563518,1836096,0,0
Thaddeus Young,PF,15,6/21/1988,34,8000000,8000000,0,0
Thanasis Antetokounmpo,SF,4,7/18/1992,30,1878720,0,0,0
Theo Maledon,PG,2,6/12/2001,21,2408891,1761752,0,0
Theo Pinson,SF,4,11/5/1995,26,1968175,0,0,0
Thomas Bryant,C,5,7/31/1997,25,1968175,0,0,0
Tim Hardaway Jr.,SG,9,3/16/1992,30,19602273,17897728,16193183,0
Tobias Harris,PF,11,7/15/1992,30,37633050,39270150,0,0
Tony Bradley,C,5,1/8/1998,24,2036318,0,0,0
Torrey Craig,SF,5,12/19/1990,31,5121951,0,0,0
Trae Young,PG,4,9/19/1998,24,37096500,40064220,43031940,45999660
Tre Jones,PG,2,1/8/2000,22,1782621,0,0,0
Tre Mann,PG,1,2/3/2001,21,3046200,3191400,4908373,6964982
Trendon Watford,SF,1,11/9/2000,21,1563518,1836096,1988598,0
Trent Forrest,PG,2,6/12/1998,24,508891,1761752,0,0
Trevelin Queen,SG,1,2/25/1997,25,838891,1761752,0,0
Trevor Hudgins,PG,0,3/23/1999,23,508891,1761752,0,0
Trevor Keels,SG,0,8/26/2003,19,508891,1761752,0,0
Trey Lyles,PF,7,11/5/1995,26,2625000,0,0,0
Trey Murphy III,SF,1,6/18/2000,22,3206520,3359280,5159854,7285713
Troy Brown Jr.,SF,4,7/28/1999,23,1968175,0,0,0
Ty Jerome,SG,3,7/8/1997,25,4728948,1761752,0,0
TyTy Washington Jr.,PG,0,11/15/2001,20,2210040,2320440,2431080,4388099
Tyler Dorsey,SG,2,2/18/1996,26,201802,0,0,0
Tyler Herro,SG,3,1/20/2000,22,5722116,27000000,29000000,31000000
Tyrese Haliburton,PG,2,2/29/2000,22,4215120,5808435,7992406,0
Tyrese Martin,SG,0,3/7/1999,23,1017781,1719864,0,0
Tyrese Maxey,PG,2,11/4/2000,21,2726880,4343920,6259588,0
Tyus Jones,PG,7,5/10/1996,26,15000000,14000000,0,0
Udoka Azubuike,C,2,9/17/1999,23,2174880,3923483,5818526,0
Udonis Haslem,C,19,6/9/1980,42,2905851,0,0,0
Usman Garuba,PF,1,3/9/2002,20,2471160,2588400,4392515,6391109
Vernon Carey Jr.,C,2,2/25/2001,21,1782621,1930681,0,0
Victor Oladipo,SG,9,5/4/1992,30,8750000,9450000,0,0
Vince Williams Jr.,SG,0,8/30/2000,22,508891,547349,0,0
Vit Krejci,SG,1,6/19/2000,22,1563518,1836096,1988598,0
Vlatko Cancar,PF,3,4/10/1997,25,2234359,2234359,2346606,0
Walker Kessler,C,0,7/26/2001,21,2696400,2831160,2965920,4878938
Wendell Carter Jr.,PF,4,4/16/1999,23,14150000,13050000,11950000,10850000
Wendell Moore Jr.,SG,0,9/18/2001,21,2306520,2421720,2537040,4574283
Wenyen Gabriel,PF,3,3/26/1997,25,1878720,0,0,0
Wesley Matthews,SG,13,10/14/1986,36,2905851,0,0,0
Will Barton,SG,10,1/6/1991,31,14375000,0,0,0
Willy Hernangomez,C,6,5/27/1994,28,2443581,2559942,0,0
Xavier Tillman,PF,2,1/12/1999,23,1782621,1930681,0,0
Yuta Watanabe,SF,4,10/13/1994,28,1968175,0,0,0
Zach Collins,C,4,11/19/1997,24,7350000,7700000,0,0
Zach LaVine,SG,8,3/10/1995,27,37096500,40064220,43031940,45999660
Zeke Nnaji,PF,2,1/9/2001,21,2617800,4306281,6235495,0
Ziaire Williams,SF,1,9/12/2001,21,4591680,4810200,6133005,8353152
Zion Williamson,PF,2,7/6/2000,22,13534817,33500000,36180000,38860000
